,req,res
23763,판다곰 엄청 귀엽잖아 키키,판다곰 애교 부리는 거 귀여워
23764,코끼리는 너무 덩치가 크잖아 키키,중국 정부에서 승인해줄까?
23765,차라리 판다 곰이 나은 것 같아 키키,코끼리는 타고 다녀도 재밌겠다
23766,야구 해보고 싶지 않아?,스포츠는 다 좋아
23767,난 투수가 너무 멋져 보이더라구 키키,야구도 어릴 때 참 많이 했지
23768,홈런 때리고 싶어 요즘 키키,내가 슬라이더 던지면 애들 꼼짝 못해
23769,포수는 정말 대단한 것 같아 키키,슬라이더와 고속커브가 내 전문이야
23770,야구 나 축구 둘중 하나 하고 싶어 키키,고속 슬라이더 하나 던지면 침 흘려
23771,슬라이더 연습 많이 해야지 키키,축구는 보는 것도 재밌어
23772,야구 게임도 해봤어 난 키키,피파 할래?/다들 들어와
23773,롤? 뭐야 키키,롤 할까/롤도 정말 좋지
23774,밤새 놀자,너처럼 말하는 애 있었는데 나한테 졌어
23775,게임은 하루종일 해도 좋아 키키,팀빨이라면서 인정 안 하더라
23776,롤부터 일단 해보자 키키,롤도 재밌겠다 하하
23777,피파는 내가 짱이잖아 하하,그럼 내가 탑 가서 버텨줄게
23778,우리 충청도로 여행 갈래?,일본여행 가서 일본 여자 만나고 싶다
23779,대전쪽 엄청 좋아보이더라구 키키,충청도는 뭐든지 느려서 싫어
23780,서울 보다 더 좋아 보여 완젼 키키,대전 노잼도시를 간다고?/삭제된 메시지입니다.
23781,경상도가 빠른 편이지 키키,하동은 너무 시골 아니야?
23782,재밌을 것 같아,하동 녹차밭 아이스크림 맛있어
23783,나 하동 좋아해 엄청 키키,녹차잎에 목욕하고싶다
23784,이런 날씨에 딱 가야지,요즘 날씨 온천욕 하면 딱인데
23785,완젼 날씨가 좋잖아 요즘 키키,우리나라는 자연온천 없나?
23786,추워지기 전에 놀러 가자구 키키,날씨가 추울 땐 온천이야
23787,온천 겨울이 최고지 완젼 키키,겨울에 스키도 가보자/스키 재밌겠다
23788,추운 건 별로 싫어 그래도 ㅠㅠ,겨울 날씨가 스키 즐기기엔 딱이지
23789,여름에 수영이나 하러 가자 키키,더운 것보다는 추운 게 낫지 않을까 싶어
23790,누리호 발사 실패 했대 ㅠㅠ,요즘 사회이슈 뭐야?
23791,너무 슬퍼 아쉬워서 ㅠㅠ,누리호 발사하는 데 돈이 얼마나 드는데!
23792,그래도 우리에겐 재도전이 있어 !,실패했다니 아쉽네
23793,누리호 엔진이 문제였대 키키,오호 그렇구나/그럼 다행이야
23794,그래서 엔진팀들 엄청 비상이라던데 키키,엔진이 문제네 문제야/엔진은 심장과 같은 역할이잖아
23795,엔진이 정말 중요해 로켓은,이제 잘릴까봐 우신 거 아냐?
23796,요즘 타국가 무슨 일 있는 거 아니?,소련이랑 미국은 옛날부터 로켓 쐈잖아
23797,탈레반 아직도 싸우는 중이지?,탈레반은 아직 싸우지
23798,안젤리나 졸리는 뭘해도 이뻐 키키,거기는 내전으로 돌입했을걸
23799,탈레반들 너무 나쁜 사람들이야 ㅠㅠ,안젤리나 졸리 가슴 자른 거 알지?
23800,안젤리나 졸리 나의 우상이야 아주 키키,글래머가 상징인 졸리였는데 ㅠ
23801,어우 글래머 부러워 여자들은 키키,둘이 헤어진 지 오래됐잖아
23802,요즘 외모를 관리 하고 싶어,머리색 바꾸고 싶어
23803,그래서 머부터 해야될지 모르겠어,오징어게임 봤지?/너네?
23804,요즘 외모 관리 필수야,거기 나오는 이정재처럼 하고싶어
23805,그래서 우선 털부터 깎으려구 키키,빨간색 머리로 하면 이목을 끌 수 있을까?
23806,왁싱 샾 가볼까 생각중이야 키키,가면 456억 내꺼야
23807,수염 기르면 이상해 키키,수염 기르고 싶은 걸 이젠?
23808,너희들 보험 들어 놓은 거 있어?,건강해진다는 게 어떤 의미일까?
23809,난 치아보험 들어놨어,병이 없는 걸 건강하다고 해?
23810,특히 치아도,보험은 역시 많아야 해
23811,치과 가면 돈 낭비야 ㅠㅠ,치아 보험은 이제 필수라고
23812,보험 많이 넣고 다니자 우리 키키,치과는 자주 가야 돈이 안 깨져
23813,보험비도 은근 비싸 요즘 키키,인생에 보험도 있으면 좋겠다
23814,코인 말고 주식 말고 또 머가 있을까?,나 이제 당근마켓 끊으려고...
23815,당근 사기 먹은 건 아니지?,당근마켓에 사기가 너무 많아
23816,당근 나도 얼마 전에 사기 먹었어 ㅠㅠ,사기 먹었어 ㅠㅠ 100만원이나
23817,당근 너무 무서워 그래서 이젠 ㅠㅠ,선입금 하라해서 했는데 튀는 거야
23818,이웃주민 당근끼리 너무해 ㅠㅠ,눈앞에서 도망갈 줄은 상상도 못했어
23819,당근거래 이제 하지 말자 우리,사기 당하는 기분이 이런 거구나 ㅠ
23820,가수 누구 좋아해 너희?,나는 에일리 좋아해
23821,난 김건모가 좋아 키키,그리고 가수 지나도 좋아해
23822,조용필도 너무 좋구 요즘은 키키,지나 요즘 왜 안 나오지?
23823,트롯은? 키키,지나 블랙앤 화이트 좋았는데
23824,지나 노래 못해 키키,노래가 너무 힙하지 않아?
23825,앜 키키 나도 요즘 가수들 찾아보고 있어,지나는 노래 못해도 돼...
23826,좋아하는 배우 있어?,나는 아무래도 신세경이야
23827,난 톰크루즈 좋아해 키키,신세경 정말 이쁘지 않니?
23828,앜 키키 한국 여배우 좋아하구나>? 키키,설인아도 이쁜 것 같아
23829,너무 이뻐,설인아 다들 알아 ?
23830,한국 배우들은 다 이뻐 키키,설인아 완전 이뻐/내 스탈이야
23831,남자 배우들도 잘생겼고 키키,한국 배우들은 참 대단해
23832,다들 두찜 먹어 봤어?,응 키키/그거 배민에서 유명하잖아!
23833,특히 매운 찜닭이 맛있어 키키,난 맵찔이라 그냥 간장 찜닭도 맛있더라!
23834,맞아 거기에 납작 당면 바꾸면 존맛탱,와 누나 진짜 뭘 좀 아네 하하
23835,응 내 최애 찜닭 맛집이야 하하,두찜은 쿠폰도 많이 줘서 좋더라
23836,나는 피자!,그치 난 배민 쿠폰 있을 때만 시켜 먹어!
23837,벌써 점심 고민 하고 있어?,점심은 당연히 따뜻한 국에 밥 말아먹기지
23838,너네 집은 이사 안 가?,우리 집은 여기서 존버 타야지...
23839,아파트 가고 싶지 않아?,나도 아파트 가고싶다/청약 이런 거로 ㅠㅠ
23840,새 아파트 가보고 싶어,새 아파트 요즘 잘 나온다더라! 키키
23841,화장실 두 개 있는 집 가고 싶어,와 금수저의 상징이 화장실 집에 2개잖아
23842,우리집 화장실 변기 민트색이야 후,민트색? 키키/색깔 이쁘고 좋네 뭘~
23843,촌스러워,그래도 화장실 1개라도 있는 게 어디야~
23844,제주도 렌트카 얼마에 했어?,렌트가 요즘 엄청 비싸다던데...
23845,그러게 sk 봤는데 엄청 비싸,sk는 원래 비싸 ㅠㅠ/차가 좋다더라고
23846,비행기 가격도 오르더라 하,비행기 가격도 너무 올라서 이젠 왕복 10이야
23847,나도 다담주에 가는데 비싸,그니까.../비싸도 가는 게 대부분 사람들이라 ㅠㅠ
23848,너는 제주도 여행 계획 없어?,그러게/제주도는 비싸도 좋으니까 어쩔 수 없지 하하
23849,그러면 나중에 휴가로 가봐,그니까!/그러면 되겠다 키키/여름 휴가?
23850,너 회사 다닌 지 얼마나 되었어?,나도 회사 취업 시켜주라 ㅠㅠ
23851,그럼 전역하고 계속 할 거야?,너 진짜 타이트하게 살고 있네
23852,나이 들어 힘들어 못해,운전이 은근 체력적 한계가 느껴진다던데? ! ㅠㅠ
23853,쉬는 날은 유동적이야?,부럽다/나도 슬슬 일 시작해야겠네 키키
23854,얼른 쉬고 싶다,아 주말에 일하는 사람은 진짜 힘들겠다...
23855,진짜 하기 싫어,주말에 일하는 사람 덕분에 내가 쉬긴 하구나 ㅠㅠ
23856,강철부대 시즌 2 한다고 하더라,오 그거 나 재밌게 봤던 프로그램인데 키키
23857,지금 지원자 모집하고 있대 키키,다들 괴물만 나와서 너무 빡세더라
23858,내 지인 그거 지원자 신청했어...,와... 그 사람 좀 치나보다/그치?
23859,특전사 장교 출신이야 키키,소개할 때 좀 멋있겠네/갈 만하다~
23860,진짜 웃통 까면 대박이더라,다들 근육을 숨기고 있잖아 하하
23861,너 저번에 원데이 클래스 들은 거 어땠어?,나 말하는거야 누나?/맞나 키키
23862,반지 만들기 해봤다며,아 나구나 키키/그거 완전 꿀잼이야
23863,나무 반지 만드는 거 하지 않았어?,맞아/나무 반지인데 은근 괜찮더라고~!
23864,나무에 대해서 배우고 그랬어,나무 종류도 고르고 직접 반지 구멍도 만들고/신기하더라 하하
23865,응응 강사님이 잘 알려주셔,맞아 옆에 강사님이랑 같이 하는 거라 괜찮아
23866,클래스 101 이거 알아봐 키키,응 키키/원데이 클래스 시간도 잘 가고 좋아
23867,명절에 집 갔다 왔어?,아니/우리 집은 그냥 집에서 쉬었어
23868,우리집은 제사 지내고 맛있는 거 먹었어 하하,오 부럽다/제사 지내고 음식 먹는 게 또 설레지~
23869,가족들 얼굴도 오랜만에 보고 좋았어,그치 키키/명절에 가족들도 보고 용돈도 받고~
23870,계속 먹으래,그래도 고기도 먹고 전도 먹고 좋잖아 누나 하하
23871,우리 아빠가 누룽지 백숙도 해줘,와 나라면 제사가 기다려지겠는걸...?
23872,아빠표 누룽지 백숙 진짜 판매 각이야,그 정도야? 키키/나도 먹으러 한 번 가야겠다
23873,너 여자친구랑 동거 한다며,부럽다.../동거 라이프 완전 달달하겠다
23874,뭐 거의 신혼 맞지? 하하,그러게 키키/결혼만 안했지 신혼 부부 같다
23875,엄청 떨어져서 보고 싶겠다,그러게/둘이 엄청 애타겠어
23876,7년 사귀어도 다 헤어져,누나 왜 무섭게 겁주고 그래 키키
23877,동거 한 지 얼마나 된 거야?,그러게/이른 나이에 동거를 키키
23878,둘이 살면 방값은 덜 내겠다,둘만의 시간을 보내기 딱인걸 ...
23879,소동물 요즘 많이 키우더라,소동물이 뭐야?/처음 들어봐 키키
23880,햄스터 고슴도치 이런 종류,다 조그마한 동물들이네/귀요미들
23881,울음소리도 없고 조용하잖아,근데 가시는 찔리면 아파 보이던데...?
23882,무섭네,그래서 난 그냥 고슴도치는 패스
23883,내 몸 하나 챙기기 힘든데,넌 일단 군대나 가라
23884,진짜 대환장파티 될 것 같아,반려동물 케어가 또 쉽진 않으니...
23885,너 요즘 살 많이 빠졌더라~,나 말하는 건가? 키키/맞긴 하지
23886,헬스장에서 피티 받는 거 하잖아 키키,아 맞아 키키/나 이제 2달차긴 하지~
23887,귀여워 정말,그럼~ 그래도 몸 변화 보이니 좋던데
23888,오~ 체지방 많이 없어 보이더라 키키,그치/체지방 거의 6프로 넘게 빼서 뱃살 실종이야 하하
23889,안 그러면 멸치 돼,그치/내 목표는 근육돼지야!
23890,키키 바디 프로필 한번 도전해봐,에이 그건 너무 빡세던데?/난 치팅할 거야 키키
23891,다들 젠가 게임 좋아해?,나 커플젠가 하는거 좋아해 키키
23892,나는 술 먹고 하는 젠가가 꿀잼이더라,그치 키키/젠가 은근 스릴감 있잖아
23893,보드게임 카페에서 자주 했어,아 보드게임 카페에선 또 할리갈리가 최곤데
23894,나는 컴터 게임보다 좋더라,나도 보드게임이 더 재밌더라/직접 하는거라
23895,나도 머리 쓰게 만들어서 더 재밌어,은근 두뇌 강화에도 좋지 않을까~ 키키
23896,막상 게임 하다보면 승부욕 불탈걸,그치/난 조금 그런 편이야~
23897,여행갈 때 주로 어디서 예약해?,나는 야놀자에서 숙박 예약해 키키
23898,에어비앤비는 잘 안 써?,에어비앤비는 은근 꿀이 안 보이더라
23899,감성 숙소가 많아서 남친한테 가자 했어 키키,그치/에어비앤비는 감성이 중요하잖아!
23900,비싸면 하루에 10-20만원 사이 해,비싼데는 비싼데 10만원 이하도 있더라고
23901,잘 찾아 봐야해 ㅠㅠ,그냥 이번 달부터 가격이 너무 올랐어 ㅠㅠ
23902,여행 내가 갈게 키키,그니까/너는 일하고 우린 놀고~
23903,너는 무슨 계절에 태어났어?,난 여름 키키/7월생이지롱~
23904,엄마가 엄청 고생했네,어! 나도 7월인데 여기서 이렇게? ~ 하하
23905,7월생 주변에 은근 많다,여름엔 에어컨 밑에서만 서식하면 땡이야
23906,우리집도 매일 틀고 잤어,나는 잘 때 제외 다 틀었어!
23907,폭염이라 근데 ㅠㅠ,에어컨 1등급 사면 그래도 괜찮아 누나 키키
23908,다음 여름에 한번 장만할게 키키,좋아/내년 여름을 기다려 보자고~
23909,고기랑 술 왕창 먹고 먹튀한 거 봤어?,먹었으면 돈을 내야지/그게 뭐야...
23910,돈을 떠나서 괘씸하다 키키,대박이네/요즘 세상에 그런 생각도 하고 키키
23911,자영업자 가뜩이나 힘든데 ㅠㅠ,그니까 ㅠㅠ/진짜 나쁜 사람들 많아
23912,고깃집 사장님이야,맞아 키키/너 기사 대충 읽었지~?
23913,저 작은 가게에서 엄청 나게 먹어 댔네,아주 그냥 식성이 좋은 사람들이네 키키
23914,걔네 완전 계획적이고 상습범이래 키키,그런 걸로 계획을 세우고 그러냐 에이고
23915,아메리칸 항공 주말 동안 1700편 항공 취소 했대,헉.../그 정도면 대량 취소 아니야?
23916,코로나로 휴직한 사람들 많아서 인력 부족이래,그렇구나 키키/코로나가 미국에선 엄청 피해 크다던데
23917,특히 항공사들이 피해가 많은 것 같아,맞아/저번에 해고 얘기도 그렇고 미국 이슈가 많네
23918,전에 정리 해고도 했어,그니까~ 키키/승객들도 엄청 피해봤겠다
23919,당장 우리나라도 해외 가는 거 별로 없잖아,그렇긴 하네 키키/해외여행이 불안정한 시기잖아
23920,진짜 대박이네,뭐야.../그래도 탈 사람들은 많나 보다
23921,너도 외모 관리 하고 있어?,외모관리는 남자한테 사치야 키키/안해
23922,이 사람들아!,그런가 키키/나는 아무것도 신경 안 써
23923,아저씨 되는거 순식간이야,에이 그러지마 ㅠㅠ/나 아직 아저씨 멀었어
23924,털관리 피부관리 중요해,그렇긴하지 슬슬 시작해야하나 ㅠㅠ
23925,그치 키키 나도 30살에 피부과 끈어서 다닐겨,30살부터는 진짜 관리가 필수인거 같아 하하
23926,삶의 질이 달라져,그렇대 키키/누나도 얼른 피부과로 달려가
23927,다들 집에 비상약 갖고 있지?,당연하지 키키/구급약 상자 항시 대기 중이지
23928,진짜 소화제 필수로 있어야해,거의 증상약들은 다 구비 해 놔야 마음이 편해!
23929,약국도 일찍 닫고 그래,집에 다 준비 해 놔!/그래야 안심이지
23930,약국이 6사면 닫고 그러지 않아?,음 우리 동네는 한 7시정도면 닫는 편이야 키키
23931,수원인데,수도권인데도 일찍 닫으면 불편하긴 하네 ㅠㅠ
23932,편의점에 가끔 타이레놀은 있더라,편의점에서 구비 할 수 있는 약들도 요즘 많아졌다더라!
23933,너 얼마 전에 여친이 옷 사줬다며~,맞아 키키/여친이 나 맨투맨 사 줬어!
23934,어디 브랜드 키키,그 무신사에서 샀다는데 잘은 몰라~/근데 디자인 이뻐
23935,편한옷 많이 팔아 맨투맨,나이 어린 사람들한텐 은근 어울리는 거 많아
23936,괜찮을 것 같아 키키,무신사 요즘 17% 쿠폰도 줘서 사람들 많이 쓰더라!
23937,멋지네,올~ 멋있다 키키/할인 많으니 잘 찾아 봐
23938,여친한테 진짜 잘 보여야 해,그치/잘 보여야 뭐라도 떨어지지~
23939,좋아하는 개그맨 누구 있어?,나는 김병만/옛날부터 좋아했어 키키/나는 이은지 요즘 핫해서 좋더라
23940,김병만 아저씨 진짜 대단해,나 그 개그콘서트 때부터 팬이었어!
23941,저번에 추락 사고 이후로ㅠ ㅠ,아 추락사고가 있었어?/나 몰랐는데 ㅠㅠ
23942,경비행기 조종하다 추락한 걸로 아는데,헐 많이 안 다쳤겠지...? ㅠㅠ
23943,진짜 충격,김병만이 다치다니/흔치 않은 일인데 키키
23944,정글의 법칙 되게 재밌게 봤어 초반엔 키키,정글의 법칙하면 또 김병만이잖아~/멱살잡고 캐리!
23945,너네 조카들도 지금 만화 봐?,아직 어려서 안 보지 않을까? !
23946,헐,에이/몇 년이 지났는데 당연하지! 키키
23947,번개맨은 나 어릴 때도 있던 만화야 키키,맞아/그건 나 때도 있긴 있었어!
23948,다 비슷한 만화 하는구나,그치 키키/만화는 세월이 지나도 비슷하더라고
23949,아니면 티비로 봐?,요즘은 티비에 연결해서 보지 않을까? !
23950,유튜브 자주 보면 눈 나빠질 텐데 ㅠㅠ,그치 ㅠㅠ/어릴 때부터 너무 자주 보여주면 안 돼
23951,맥도날드 어떤 버거 좋아해?,오 맥도날드 나는 베토디 좋아해
23952,바삭해,맞아/상하이 처음에 많이 먹었어 키키
23953,나는 사이드가 더 맛있어,키키 사이드 치킨너겟 진짜 많이 먹어 키키
23954,요즘 맥날도 배민이야,맞아/나 배민도 많이 이용해 키키/짱 좋아
23955,대신 배달비가 너무 쌔서 ㅠ,맞아/배달비 드는 거 너무 아까워 ㅠㅠ
23956,그리고 감튀 식어서 와,맞아/감튀 다 식어/그거 별로야/눅눅해
23957,우리 동네 집값 미친듯,요즘 집 값 다 미쳤어 키키
23958,우리 아파트 30년 넘었는데 4억이래 키키,와 대박/거기 물가가 높은가 보네 키키
23959,근데 세종은 새도시라 좋아,맞아/세종이 지금 엄청 올라갔어 키키
23960,세종은 계속 오르나봐 휴,이제 더이상 오를 것도 없을 듯 키키
23961,거기 청약 당첨 받고 싶다,아 청약 좋지 ㅠㅠ/그래도 30프로 자본 있어야 해...
23962,세종 나성동이 제일 좋다 하던데,난 세종 무슨 동 있는지 잘 몰라 키키
23963,한달에 교통비 얼마나 들어?,한달에 교통비 나는 20만원에서 30만원 나오는 듯
23964,헐 왜 이리 많이 나와? 키키,출퇴근이랑 주말에 타면 그 정도 나오더라고 ㅠㅠ
23965,아니면 유지비?,나는 유지비로 따지면 더 많이 나와 ㅠㅠ
23966,난 버스비 요새 10만원 정도 나와 ㅠ,맞아/교통비도 장난 아니라고 그러더라 ㅠㅠ
23967,서울 안 가서 그런지 덜 나와,서울 다니면 더 많이 나와?
23968,응 빨간 버스는 왕복 6천원이야,서울까지 가는 건데 그래도 저렴한 거 같은데 키키
23969,곧 코로나 풀려서 회식 자주 하겠다,아 회식 너무 싫어 ㅠㅠ
23970,회식 에바야,내말이/회식 업무의 연장이라 너무 싫어 키키
23971,꼰대도 엄청 많다고 들었어 ㅠㅠ,맞아/술로 강요하면 회식 너무 싫어 키키
23972,그리고 술도 강요하잖아,그러니까/나 술도 못 마시는데 ㅠㅠ
23973,회식 문화가 이래서 없어져야 해,맞아/술 문화 빨리 사라졌으면 좋겠어 키키
23974,부장님 술로 가버리기~ 키키,맞아/나도 술로 복수 하고 싶어 키키
23975,군인 만나는 거 왜 비추하는 거야?,군인 자주 얼굴 보기 힘들잖아 키키
23976,근데 남편으로 괜찮지 않나 키키,아 남편으로는 좀 괜찮은 거 같아 키키
23977,돈 모으기 최고 아니야?,맞아/그리고 군인은 아파트도 나와 키키
23978,피엑스도 엄청 싸고 좋을듯 키키,맞아/군인 아파트 안에 피엑스 있잖아 키키
23979,돈 바짝 벌 수 있다던데,맞아/오빠 군인 잘 어울렸을 거 같은데 키키
23980,소위들 죽어나가 정말 ㅠㅠ,맞아/군대는 항상 사건사고가 많더라 키키
23981,고등학교 때 공부 많이 했어?,나 그냥 엄마가 뭐 사준다고 하면 했어 키키
23982,헐 키키 나는 학원 자주 다녔어,아 나도 한번 학원 다닌 적 있다 키키
23983,공부 안 함 키키,맞아/가서 친구들이랑 놀고 밥 먹고 키키
23984,학원 쌤 돈 잘 벌어 증말,맞아/나도 학원 선생님 될걸 키키
23985,그리고 대학생이 와서 가르칠 때도 있어,스트레스 학생들한테 푸는 거 아닌가 몰라~
23986,헐~ 고딩 때가 제일 재밌지 않아?,맞아/중고등학생 때 노는 게 가장 재밌었어 키키
23987,쉬는날 가족들이랑 뭐하고 지내,우리 같이 밥 먹고 티비 보고 그러지 키키
23988,오 엄마 아빠랑 셋이 산책해?,오빠네 사이 진짜 좋은가 보다 키키
23989,셋이 나란히 너무 귀여운듯 키키,맞아/여동생도 불러서 같이 다녀 키키
23990,추우면 산책 못 가 ㅠㅠ,맞아/추우면 집에 있어야 해 키키/못 나가
23991,전기장판에 귤 까먹고 연속극 봐야 해,맞아/귤 한박스 집에 사둬야 해 키키
23992,엄빠는 주말 드라마 좋아해,맞아/엄마들 특히 막장 드라마 좋아한다고 키키
23993,여친이 어떤 선물 줬어?,뭐야/오빠 여친한테 선물 받음?
23994,어떤 지갑이야?,오 나도 지갑 하나 사줘라
23995,백 얼마 아닌가,헐 대박/별거 아니니까 나 줘라
23996,오빠 쉽지 않네,그러니까/130 누구 이름이야 ㅠㅠ/너무 비싸
23997,여자가 좀 까탈스러워야지 하하,맞아/비위 맞추기 까다롭다니 키키
23998,자주 싸울듯,까탈스러운 사람들끼리 만나면 전쟁이야 키키
23999,집에서 동물 키워본 적 있어?,응 나 예전에 키운 적 있어 남의 집에서 키키
24000,나도 갱얼쥐 키운 적 있어~,맞아/강아지는 다들 많이 키워본 거 같아 키키
24001,진돗개 키웠어 잠깐,와 진돗개 키키/그럼 마당에서 키웠겠네?
24002,집에서 새끼 때 잠깐 키웠음 ㅠㅠ,아아 너무 커져서 시골 보낸 거야?
24003,근데 예방 접종을 안 해줘서 죽었어 ㅠㅠ,헐 왜 접종 안 시켰어!
24004,내가 안하구 시골에서 보내고 ㅠㅠ 까먹은듯,그래도 함께 했는데 마음 안 좋았겠네 ㅠㅠ
24005,겨울에 운동 다들 안가?,겨울에는 집에만 있어야지/나가면 죽어
24006,오빠 삼대 몇 치냐 키키 궁금,맞아/삼대 몇 쳐/나 어제 배움
24007,오빠는 가서 무슨 운동을 하는겨 키키,아니/나 어제 주어 들었어 키키
24008,아 키키 유산소 운동 위주로 하는구나,유산소가 원래 가장 중요해 키키
24009,나는 웨이트 운동을 좋아한다구!,웨이트 운동은 뭐야/힘 쓰는 거?
24010,기구를 사용해,왜 난 집에서 숨 쉬는 거 좋아해 키키
24011,달고나 뽑기 게임 요새 많더라,응 요즘 길가에서 많이 하고 있더라 키키
24012,요새 술집에서 있어?,헐 술집에도 있어?/대박/나도 데리고 가
24013,오빠 성공함?,오 거기 성공 술 한병 메모메모
24014,직접 달고나 뽑기 하는 거?,오 오빠 좀 그런 거 잘 하나보네 키키
24015,우리 동네는 그런 거 없어,아니야/잘 찾으면 있을 수도 있지!
24016,나는 세모 뽑기 할게 키키,나는 그럼 우산 한번 해볼래 키키
24017,제주도 맛집 추천 부탁 드림,제주도는 맛집이 없어 하나도 없어 ㅠㅠ
24018,뼈 해장국은 먹어 봤는데 하하,고사리 해장국 먹지마/속 느끼해져
24019,누구 말이 맞는 거야,이게 입맛 달라서 그런데 난 제주도 다 느끼해서 속 아팠어/회만 먹고 와 ㅠㅠ
24020,나는 흑돼지 돈까스 맛있게 먹었어,응 흑돼지 먹고 연돈도 한번 도전 하고 와 키키
24021,고등어회 모슬포항 거기 맛있던데,고등어회 나는 동문 가서 딱 새우 사면서 사 키키
24022,추천,오케/나 그럼 거기 한번 나중에 가볼게 키키
24023,다음주 날씨 거기 어때?,여기 다음주까지 날 좋을 거 같아 키키
24024,여긴 맑고 좋던데 키키,맞아/여기는 날 좋은데 키키
24025,비 오는 날 조심 해야 하는 거 알지 하하,아 비 오면 회식 조심히 해야겠네 ㅠㅠ
24026,특히 비오는 날에 또라이들 많아,맞아/그리고 음침해서 무서워 키키
24027,나도 비 오는 날은 항상 겸손해져 키키,겸손해진데 키키/나도 비오는 날 이제 겸손해져야겠다 키키
24028,난 특히 일 하다가 진상 많이 만났어,아 일하다가 진상 만나면 스트레스 받아
24029,12-15세도 백신 접종 한대 키키,헐 12-15세는 너무 어린 나이 아니야?
24030,저번에 백신 맞은 고3도 죽었던데,그러니까/고3도 죽었는데 중학생들은 너무 어린 거 같은데 ㅠㅠ
24031,굳이 애기들한테 맞춰야 하나 싶어,그러니까/좀 더 기다렸다가 좋은 거 나오면 맞추면 안되는 건가 ㅠㅠ
24032,아직까지는 위험한 것 같아,맞아/지금은 너무 일러 미뤄야지 ㅠㅠ
24033,나도 다들 백신 맞았어?,응 나는 2차까지 다 완료 했지 키키
24034,2차까지 맞고 아직 이상 무,맞아/나도 맞은 지 꽤 됐는데 살아 있음 키키
24035,미국 할로윈 파티서 총기 사고 있었대,헐 할로윈인데 총기를 발사한 거야?/대박
24036,수백명이 참가 했는데 두명 죽은 거 보니 노렸나,헐 뭔가 계획 했던 건가 보네 ㅠㅠ
24037,미국은 총기 사고 너무 많아,맞아/이래서 총기는 소지 안 했으면 좋겠어 ㅠㅠ
24038,상반기에만 총기 사고가 몇번이야,그러니까/지금 이게 몇번째야 ㅠㅠ
24039,그래서 미국도 총기 규제 하자고 하더라,오 드디어 규제 하려고 하나보네 키키
24040,공산당도 아니고 얼른 규제 해야 해,그래야 시민들도 안전하게 생활하지 키키
24041,언니 요즘 시술 할만한 거 추천 좀,요즘 사람들 뭐 많이 하냐/요즘 나도 못해 키키
24042,나 필러는 무섭고 키키 윤곽 해보게!,왜 필러 좋아/필러 맞아
24043,오빠도 코 필러 맞음?,오빠 저번에 코 필러 맞고 왔잖아 키키
24044,남자도 코 많이 해?,대박/오빠는 나보다 시술 많이 하는 거 같아 키키
24045,오빠 미용에 관심이 많나보네,맞아/남자들도 많이 한다던데 오빠는 무슨 완전 도시남자야 키키
24046,코 상담 받으러 가야 하나 하하,코 수술하면 좋긴 한 거 같아 키키
24047,코 너무 막힌다,맞아/나도 씻으면서 코 엄청 흘림 키키
24048,재채기 엄청 심한 것 같아 키키,헐 그럼 너 감기 오고 있나 보네 키키
24049,그냥 비염 같기도 하고,아 지금 비염 심해지고 있나 보네 ㅠㅠ
24050,소나무 가루 극혐이야,아 지금 소나무 가루 날리고 있어?
24051,응 ㅠㅠ 가을이라 그런 것 같더라고,아 가을 지나면 겨울인데 키키 겨울이 더 싫어
24052,언닌 겨울에 비염 더 심해져?,나는 비염은 없어/그냥 추워서 싫어 ㅠㅠ
24053,신발 정품 사이트 어디가 좋아?,신발?/나는 다 신어보고 사 ㅠㅠ/오프
24054,가끔 우리나라에 안 파는 건 직구 해야 하잖아 ㅠㅠ,아 맞아/그건 직구 해야지 ㅠㅠ/카페 가서 사
24055,응! 저번에 뉴발란스 신발 한번 직구 했어,응 나는 다 직구 카페서 올라오는 거 보고 마음에 들면 사 키키
24056,난 크로켓 썼어,아 크로켓/거기 요즘 뜨는 사이트지 키키
24057,해외직구 사이트로 유명한듯,처음에 사기인 거 같았는데 많이들 사더라고 키키
24058,그래서 후기 같은 거 많이 보고 사,맞아/나도 후기 엄청 찾아 봄 키키
24059,보고 싶음,나 그거 오늘 재방 보고 왔는데 키키
24060,최근껀 별로던데,나 신서유기5 이거 봤어 키키/강호동 라면 맞추는 거 키키
24061,좀 더 설명해봥 키키,라면 5개 끓이고 어디 브랜드 인지 맞추는 거 키키
24062,나는 예전에 베트남에서 한 거 재밌게 봤어,아 맞아/베트남 그때가 제일 재밌었지 키키
24063,나도 신서유기 다 좋아해,맞아/신서유기 재밌어 키키/본방사수 해야 됨 키키
24064,딴따유기~,딴따유기 뽀~/이수근 목소리 들린다 키키
24065,크리스마스에 무슨 영화 봐?,크리스마스에 개봉작 이미 나왔어?
24066,키키 헉... 나는 나홀로 집에 볼 거야,아 나홀로집에 키키/그거 안 본지 진짜 오래됐다 키키
24067,쒸익 남친 가둬 놓고 같이 볼 거야,남친은 왜 가둬 두고 봐 ㅠㅠ/같이 봐 그냥 키키
24068,요새는 해리포터 한대,해리포터 티비에 나오고 있다고?
24069,오빠는 그냥 25일에 티비 보고 26일에 일어나,아 근데 해리포터 한번 주행하면 잠 못 자 키키
24070,난 특히 해리포터 애기 때 모습이 귀여운듯,맞아/커갈수록 뭔가 징그럽더라 키키
